type,id,lat,lon,tags.amenity,tags.name,tags.addr:city,tags.addr:housenumber,tags.addr:postcode,tags.addr:street,tags.emergency,tags.healthcare,tags.operator,tags.operator:type,tags.nat_ref,tags.official_name,tags.old_name,tags.public_transport,tags.railway,tags.railway:ref,tags.start_date,tags.train,tags.wikidata,tags.wikipedia,tags.check_date,tags.contact:email,tags.contact:fax,tags.contact:phone,tags.contact:website,tags.grades,tags.ref,tags.ref:qzp,tags.religion,tags.short_name,tags.access,tags.addr:housename,tags.source,tags.operating_times,tags.addr:floor,tags.opening_hours,tags.phone,tags.website,tags.toilets:wheelchair,tags.wheelchair,tags.email,tags.ele,tags.internet_access,tags.fax,tags.fixme,tags.healthcare:speciality,tags.mobile,tags.operator:ref,tags.addr:unit,tags.payment:cash,tags.payment:credit_cards,tags.payment:debit_cards
node,2774265223,41.4087848,-8.5200663,school,Ginásio da Educação Da Vinci,Vila Nova de Famalicão,50,4760-125,Rua Augusto Correia,,,Da Vinci,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Mo-Fr 09:00-13:00,14:30-19:30",+351 252 312398,https://www.ginasiosdavinci.com/,,,,,,,,,,,,,,
node,2806164031,41.5575116,-8.4170824,school,Colégio Leonardo da Vinci,Braga,10,4710-306,Rua Conselheiro Bento Miguel,,,,private,,,,,,,,,,,,ext.leonardodavinci@escolas.min-edu.pt,+351 253262683,+351 253272149,,3-11,500616,QZP.06,,,,,,,,,+351 253 272149,,,,,,,,,,,,,,,
node,2892502911,41.4095953,-8.4004917,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3080412402,41.4399677,-8.4787915,school,Didáxis - Cooperativa de Ensino,,,,,,,,,,"Didáxis - Cooperativa de Ensino, C.R.L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3195191834,41.6257689,-8.3656064,school,Escola Banda Filarmónica Amares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3195194148,41.6304605,-8.3508792,hospital,Casa da Saúde Amares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3652507310,41.4689156,-8.1711528,school,Escola do 2º e 3º Ciclos e Secundário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3652511101,41.4690523,-8.1723222,school,Escola do 1º Ciclo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3941781457,41.4351272,-8.2942962,,Guimarães,Guimarães,,4800,Av. D. João IV,,,"Infraestruturas de Portugal, S.A.",,24000,Estação Ferroviária de Guimarães,,station,station,GUS,1884-04-14,yes,Q8779877,pt:Estação Ferroviária de Guimarães,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,
node,4214577431,41.60879,-8.6347956,,Tamel,,,,,,,"Infraestruturas de Portugal, S.A.",,06213,Estação Ferroviária de Tamel,,station,station,TAL,1878-07-01,yes,Q8842021,pt:Estação Ferroviária de Tamel,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,
node,4217899591,41.5367815,-8.6089965,,Barcelos,,,,,,,"Infraestruturas de Portugal, S.A.",,06122,,,station,station,BOS,1877-10-21,yes,Q2893868,pt:Estação Ferroviária de Barcelos,2025-02-03,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,
node,4257840299,41.4106594,-8.5196728,school,DeRose Method - Famalicão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://famalicao.metododerose.pt/,,,,,,,,,,,,,,
node,4556942491,41.4413312,-8.2960783,school,Alliance Francaise,,30,4810-442,Rua de Camões,,,Alliance Francaise,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Fr 09:00-19:00,253415653,,,,info.guimaraes@alliancefr.pt,,,,,,,,,,,
node,4794303756,41.4055648,-8.5294251,,Famalicão,,,,,,,"Infraestruturas de Portugal, S.A.",,05074,Estação Ferroviária de Famalicão,,station,station,FAM,1875-05-20,yes,Q8779770,pt:Estação Ferroviária de Famalicão,,,,,,,,,,,,,,24/7,,,,,,,,110,,,,,,,,,,
node,4795435047,41.3509462,-8.5264871,,Lousado,,,,,,,"Infraestruturas de Portugal, S.A.",,05009,Estação Ferroviária de Lousado,Louzado,station,station,LOO,1875-05-21,yes,Q8840987,pt:Estação Ferroviária de Lousado,,,,,,,,,,,,,,,,,,,,yes,,40,,,,,,,,,,
node,4857962386,41.5682227,-8.5317663,school,Escola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4879553925,-27.6162701,-53.7434819,school,EEEM Santo Pazini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4910176424,41.7235494,-8.1632224,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4974239498,-27.600831,-53.6979539,school,EEEF Bento Gonçalves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5063846521,41.519811,-8.6345309,hospital,Hospital Particular Barcelos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/7,,,,,,,wlan,,,,,,,,,
node,6040379376,41.4524107,-8.2914415,school,Departamento de Engenharia Mecânica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dem.uminho.pt/,,,,,,,,,,,,,,
node,6182120619,41.7135227,-8.3366807,school,Escola,,,4730-520,Avenida de São Martinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7009933899,41.6126867,-8.6991039,school,Escola EB 1 de Fragoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7722246678,41.5485469,-8.429615,hospital,Centro de Diagnóstico Pneumológico de Braga,,52,4700-027,Rua do Matadouro,,centre,ARS Norte,public,,,,,,,,,,,2024-05-18,,,,,,,,,,,,,,,"Mo-Fr 08:30-12:30,14:00-17:00, Sa-Su 09:00-14:00",+351 253 262 544,https://aces-braga.webnode.pt/cdp/,,,cdp.braga@arsnorte.min-saude.pt,,,+351 253 610 133,,,,,,,,
node,8439495012,41.6558182,-8.4348597,school,ATAHCA,,,,,,,,,,,,,,,,,,,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9092395779,41.6008485,-8.1667847,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10783341024,41.4547372,-8.544285,,Nine,,,,,,,"Infraestruturas de Portugal, S.A.",,06007,Estação Ferroviária de Nine,,station,station,NIN,1875-05-21,yes,Q8841121,pt:Estação Ferroviária de Nine,2025-02-06,,,,,,,,,,,,,,,,,,,,,80,,,Shelters,,,,,,,
node,10783341036,41.5480464,-8.4344636,,Braga,,,,,,,"Infraestruturas de Portugal, S.A.",,29157,Estação Ferroviária de Braga,,station,station,BRA,1875-05-21,yes,Q10275766,pt:Estação Ferroviária de Braga,,,,,,,,,,,,,,,,,,,,yes,,160,,,,,,,,,,
node,10799652530,41.4899873,-8.5088774,,Arentim,,,,,,,"Infraestruturas de Portugal, S.A.",,29066,Estação Ferroviária de Arentim,,station,station,ARM,1875-05-21,yes,Q5692501,pt:Estação Ferroviária de Arentim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10799652531,41.5091823,-8.4829854,,Tadim,,,,,,,"Infraestruturas de Portugal, S.A.",,29090,Estação Ferroviária de Tadim,,station,station,TAD,1875-05-21,yes,Q8842018,pt:Estação Ferroviária de Tadim,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,
node,10802552388,41.3636833,-8.4376511,,Caniços,,,,,,,"Infraestruturas de Portugal, S.A.",,28100,Estação Ferroviária de Caniços,,station,station,CAN,1883-12-31,yes,Q8779490,pt:Estação Ferroviária de Caniços,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10802552391,41.3656009,-8.3634881,,Lordelo,,,,,,,"Infraestruturas de Portugal, S.A.",,28191,Estação Ferroviária de Lordelo,Lordello,station,station,LOR,1883-12-31,yes,Q8840964,pt:Estação Ferroviária de Lordelo,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,
node,10802552403,41.3790869,-8.3123667,,Vizela,,,,,,,"Infraestruturas de Portugal, S.A.",,28233,Estação Ferroviária de Vizela,,station,station,VIZ,1883-12-31,yes,Q10275806,pt:Estação Ferroviária de Vizela,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,
node,11063388445,41.54701,-8.4055862,hospital,GeraSol - Fisioterapia,Braga,87,4715-213,"Rua José António Cruz, 87",,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.gerasol-fisioterapia.com/,,,,,,,,physiatry,+351917364312,,,,,
node,11088890460,41.5859359,-8.4018005,hospital,Unidade de Cuidados de Saúde Personalizados Adaúfe,,170B,4710-820 Adaúfe,Avenida Imaculada Conceição,no,,,,,,,,,,,,,,,,,,,,,,,UCSP Adaúfe,,,,,,,+351 253 675 178,,,,ucsp.adaufe@arsnorte.min-saude.pt,,,,,,,,,,,
node,11631336326,41.4016459,-8.4452083,school,Escola de Hotelaria e Turismo Aesacademy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11648477325,41.5792599,-8.4297207,hospital,Trofa Saúde Braga Norte,,,,,yes,hospital,Trofa Saúde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11781684681,41.5395711,-8.4396588,school,Escola Básica da Naia,Braga,,4700-116,Rua do Cruzeiro,,,"Agrupamento de Escolas de Maximinos, Braga",public,,Centro Escolar da Naia,,,,,,,,,,eb1ji.naia@escolas.min-edu.pt,,+351 253309092,,3-9,294263,QZP.06,,,,,,,,,+351 253 692445,https://www.aemaximinos.edu.pt/,,,,,,,,,,150721,,,,
node,11939418701,41.5404608,-8.6169291,school,Escola Profissional de Barcelos,Arcozelo,LT 3,4750-318,Rua Bartolomeu Dias,,,Associação Comercial e Industrial de Barcelos,private,,,,,,,,,,,,acib@acibarcelos.pt,,,,12-17,802789,QZP.05,,,,Edifício Panorâmico 2,,,,,,,,,,,,,,,,,,,,
node,11954312497,41.5480145,-8.4339079,school,Escola Europeia de Ensino Profissional,Braga,305,4700-206,Rua do Caires,,,,private,,,,,,,,,,,,esc.eeprofissional@escolas.min-edu.pt,+351 253305239,+351 253305230,http://www.escolaeuropeia.blogspot.com,15-17,802470,QZP.06,,,,,,,1,,,,,,,,,,,,,,,,,
node,11954360209,41.4091643,-8.5197862,school,Escola Profissional Artística do Vale do Ave,Vila Nova de Famalicão,161,4760-114,Rua Adriano Pinto Basto,,,Escola Profissional Artística do Vale do Ave,private,,,,,,,,,,,,ep.avavnovafamalicao@escolas.min-edu.pt,+351 252377138,+351 252808830,https://site.artave-ep.pt/instituicao/contactos/,12-17,802722,QZP.07,,,,,,,,,,,,,,,,,,,,,2º Trás,,,
node,11954645912,41.3960026,-8.3918032,school,Academia de Música Didáxis,Riba de Ave,188,4765-213,Rua António Sérgio,,,,private,,,,,,,,,,,,,,,,,800050,QZP.07,,,,Didáxis Riba de Ave,,,,,,,,,,,,,,,,,,,,
node,11954645969,41.4452458,-8.3001473,school,Escola Profissional Profitecla,Guimarães,Porta 8,4810-525,Rua de São Gonçalo,,,,private,,,,,,,,,,,,ep.pbarcelos@escolas.min-edu.pt,+351 253516945,+351 253417458,http://www.profitecla.pt,12-17,802753,QZP.07,,,,Estádio Dom Afonso Henriques,,,,,,,,,,,,,,,,,,,,
node,12294970966,41.5476618,-8.4227189,hospital,Lusíadas Braga,,,,,,hospital,,private,,,,,,,,,,,2024-10-29,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,yes,yes,yes
